4220000,静岡県,静岡市葵区,,シズオカケン,シズオカシアオイク,
4228057,静岡県,静岡市駿河区,見瀬,シズオカケン,シズオカシスルガク,ミセ
4228052,静岡県,静岡市駿河区,緑が丘町,シズオカケン,シズオカシスルガク,ミドリガオカチョウ
4228054,静岡県,静岡市駿河区,南安倍,シズオカケン,シズオカシスルガク,ミナミアベ(3チョウメ)
4228067,静岡県,静岡市駿河区,南町,シズオカケン,シズオカシスルガク,ミナミチョウ
4228074,静岡県,静岡市駿河区,南八幡町,シズオカケン,シズオカシスルガク,ミナミヤハタチョウ
4228024,静岡県,静岡市駿河区,宮川,シズオカケン,シズオカシスルガク,ミヤガワ
4228035,静岡県,静岡市駿河区,宮竹,シズオカケン,シズオカシスルガク,ミヤタケ
4228065,静岡県,静岡市駿河区,宮本町,シズオカケン,シズオカシスルガク,ミヤモトチョウ
4228061,静岡県,静岡市駿河区,森下町,シズオカケン,シズオカシスルガク,モリシタチョウ
4228002,静岡県,静岡市駿河区,谷田,シズオカケン,シズオカシスルガク,ヤダ
4228076,静岡県,静岡市駿河区,八幡,シズオカケン,シズオカシスルガク,ヤハタ
4228073,静岡県,静岡市駿河区,八幡山,シズオカケン,シズオカシスルガク,ヤハタヤマ
4228077,静岡県,静岡市駿河区,大和,シズオカケン,シズオカシスルガク,ヤマト
4228009,静岡県,静岡市駿河区,弥生町,シズオカケン,シズオカシスルガク,ヤヨイチョウ
4220000,静岡県,静岡市清水区,,シズオカケン,シズオカシシミズク,
4228570,静岡県,静岡市駿河区,南町１８−１サウスポット静岡６Ｆ,シズオカケン,シズオカシスルガク,
4228580,静岡県,静岡市駿河区,南町１８−１サウスポット静岡６階,シズオカケン,シズオカシスルガク,
4228568,静岡県,静岡市駿河区,大坪町１２−３２,シズオカケン,シズオカシスルガク,
4228567,静岡県,静岡市駿河区,西脇１２９４,シズオカケン,シズオカシスルガク,
4228524,静岡県,静岡市駿河区,栗原１８−１５,シズオカケン,シズオカシスルガク,
4228585,静岡県,静岡市駿河区,有東２丁目２−２０,シズオカケン,シズオカシスルガク,
4228523,静岡県,静岡市駿河区,高松２丁目２３−４５,シズオカケン,シズオカシスルガク,
4228563,静岡県,静岡市駿河区,南町１０番５号,シズオカケン,シズオカシスルガク,
4228562,静岡県,静岡市駿河区,中田２丁目１番６号村上石田街道ビル６階,シズオカケン,シズオカシスルガク,
4228560,静岡県,静岡市駿河区,中原５６３,シズオカケン,シズオカシスルガク,
4228522,静岡県,静岡市駿河区,高松１丁目３−２０,シズオカケン,シズオカシスルガク,
4228574,静岡県,静岡市駿河区,南町１８−１サウスポット静岡１６Ｆ,シズオカケン,シズオカシスルガク,
4228575,静岡県,静岡市駿河区,南町１８−１,シズオカケン,シズオカシスルガク,
4228576,静岡県,静岡市駿河区,西島７３７−１,シズオカケン,シズオカシスルガク,
4228569,静岡県,静岡市駿河区,宮本町１２−２５,シズオカケン,シズオカシスルガク,
4228571,静岡県,静岡市駿河区,南町１８−１サウスポット静岡７Ｆ,シズオカケン,シズオカシスルガク,
4228561,静岡県,静岡市駿河区,津島町１６番２０号,シズオカケン,シズオカシスルガク,
4228502,静岡県,静岡市駿河区,豊田２丁目７−３３,シズオカケン,シズオカシスルガク,
4228545,静岡県,静岡市駿河区,池田１７６９,シズオカケン,シズオカシスルガク,
4228520,静岡県,静岡市駿河区,登呂６丁目１２−２０,シズオカケン,シズオカシスルガク,
4228526,静岡県,静岡市駿河区,谷田５２−１,シズオカケン,シズオカシスルガク,
4228527,静岡県,静岡市駿河区,小鹿１丁目１−１,シズオカケン,シズオカシスルガク,
4228506,静岡県,静岡市駿河区,曲金５丁目４−７０,シズオカケン,シズオカシスルガク,
4228550,静岡県,静岡市駿河区,南八幡町１０番４０号,シズオカケン,シズオカシスルガク,
4228529,静岡県,静岡市駿河区,大谷８３６,シズオカケン,シズオカシスルガク,
4228531,静岡県,静岡市駿河区,大谷８３６,シズオカケン,シズオカシスルガク,
4228515,静岡県,静岡市駿河区,国吉田２丁目３−１,シズオカケン,シズオカシスルガク,
4228512,静岡県,静岡市駿河区,国吉田１丁目７−４８,シズオカケン,シズオカシスルガク,
4228578,静岡県,静岡市駿河区,富士見台１丁目５番１０号,シズオカケン,シズオカシスルガク,
4228511,静岡県,静岡市駿河区,国吉田１丁目２−２０,シズオカケン,シズオカシスルガク,
4228510,静岡県,静岡市駿河区,池田１２６−４,シズオカケン,シズオカシスルガク,
4228517,静岡県,静岡市駿河区,曲金６丁目４−８,シズオカケン,シズオカシスルガク,
4228507,静岡県,静岡市駿河区,大坪町２−２６,シズオカケン,シズオカシスルガク,
4228504,静岡県,静岡市駿河区,石田１丁目３番２９号,シズオカケン,シズオカシスルガク,
4228525,静岡県,静岡市駿河区,栗原１８−６５,シズオカケン,シズオカシスルガク,
4228565,静岡県,静岡市駿河区,中原１５５,シズオカケン,シズオカシスルガク,
4228514,静岡県,静岡市駿河区,国吉田２丁目１−１１,シズオカケン,シズオカシスルガク,
4228581,静岡県,静岡市駿河区,弥生町６番１号,シズオカケン,シズオカシスルガク,
4228521,静岡県,静岡市駿河区,敷地１丁目４−１８,シズオカケン,シズオカシスルガク,
4228516,静岡県,静岡市駿河区,国吉田２丁目２−２５,シズオカケン,シズオカシスルガク,
4228509,静岡県,静岡市駿河区,池田６５,シズオカケン,シズオカシスルガク,
4228518,静岡県,静岡市駿河区,中吉田１４−２９,シズオカケン,シズオカシスルガク,
4228787,静岡県,静岡市駿河区,八幡１丁目６番１号（静岡南郵便局私書箱第７号）,シズオカケン,シズオカシスルガク,
4228564,静岡県,静岡市駿河区,南町１９−３,シズオカケン,シズオカシスルガク,
4228650,静岡県,静岡市駿河区,豊田１丁目９−１（静岡南郵便局私書箱第１６号）,シズオカケン,シズオカシスルガク,
4228566,静岡県,静岡市駿河区,中野新田１２３,シズオカケン,シズオカシスルガク,
4228573,静岡県,静岡市駿河区,南町１８−１サウスポット静岡１４Ｆ,シズオカケン,シズオカシスルガク,
4228528,静岡県,静岡市駿河区,小鹿３丁目１８−１,シズオカケン,シズオカシスルガク,
4228505,静岡県,静岡市駿河区,豊原町５−７,シズオカケン,シズオカシスルガク,
4228519,静岡県,静岡市駿河区,小鹿２丁目２４−１,シズオカケン,シズオカシスルガク,
4228530,静岡県,静岡市駿河区,曲金３丁目２−１,シズオカケン,シズオカシスルガク,
4228670,静岡県,静岡市駿河区,登呂３丁目１−１（静岡南郵便局私書箱第１号）,シズオカケン,シズオカシスルガク,
4228680,静岡県,静岡市駿河区,登呂３丁目１−１（静岡南郵便局私書箱第１号）,シズオカケン,シズオカシスルガク,
4228677,静岡県,静岡市駿河区,豊原町９−５２（静岡南郵便局私書箱第４５号）,シズオカケン,シズオカシスルガク,
4228615,静岡県,静岡市駿河区,国吉田２丁目５−１０（静岡南郵便局私書箱第１８号）,シズオカケン,シズオカシスルガク,
4228610,静岡県,静岡市駿河区,恩田原３−７（静岡南郵便局私書箱第９号）,シズオカケン,シズオカシスルガク,
4228633,静岡県,静岡市駿河区,国吉田１丁目７−３７（静岡南郵便局私書箱第１７号）,シズオカケン,シズオカシスルガク,
4228686,静岡県,静岡市駿河区,中田本町６１−１（静岡南郵便局私書箱第２８号）,シズオカケン,シズオカシスルガク,
4228688,静岡県,静岡市駿河区,八幡１丁目５−３８（静岡南郵便局私書箱第２１号）,シズオカケン,シズオカシスルガク,
4228766,静岡県,静岡市駿河区,池田２８番地,シズオカケン,シズオカシスルガク,
4228620,静岡県,静岡市駿河区,曲金３丁目８−１（静岡南郵便局私書箱第３３号）,シズオカケン,シズオカシスルガク,
4228630,静岡県,静岡市駿河区,有明町２−２０（静岡南郵便局私書箱第３号）,シズオカケン,シズオカシスルガク,
4228621,静岡県,静岡市駿河区,曲金３丁目８−１（静岡南郵便局私書箱第３４号）,シズオカケン,シズオカシスルガク,
4228619,静岡県,静岡市駿河区,曲金３丁目８−１（静岡南郵便局私書箱第３２号）,シズオカケン,シズオカシスルガク,
4228668,静岡県,静岡市駿河区,中田２丁目７−５（静岡南郵便局私書箱第５６号）,シズオカケン,シズオカシスルガク,
4228654,静岡県,静岡市駿河区,中吉田２０−１０（静岡南郵便局私書箱第５４号）,シズオカケン,シズオカシスルガク,
4228622,静岡県,静岡市駿河区,曲金３丁目８−１（静岡南郵便局私書箱第３５号）,シズオカケン,シズオカシスルガク,
4228628,静岡県,静岡市駿河区,曲金３丁目１−５０（静岡南郵便局私書箱第７２号）,シズオカケン,シズオカシスルガク,
4228666,静岡県,静岡市駿河区,国吉田３丁目１−１（静岡南郵便局私書箱第１３号）,シズオカケン,シズオカシスルガク,
