3840097,群馬県,吾妻郡嬬恋村,鎌原,グンマケン,アガツマグンツマゴイムラ,カンバラ(タカミネコウゲン)
3840808,長野県,小諸市,御影新田,ナガノケン,コモロシ,ミカゲシンデン
3840017,長野県,小諸市,三和,ナガノケン,コモロシ,ミツワ
3840013,長野県,小諸市,緑ケ丘,ナガノケン,コモロシ,ミドリガオカ
3840063,長野県,小諸市,南ケ原,ナガノケン,コモロシ,ミナミガハラ
3840012,長野県,小諸市,南町,ナガノケン,コモロシ,ミナミチョウ
3840081,長野県,小諸市,御牧ケ原,ナガノケン,コモロシ,ミマキガハラ
3840084,長野県,小諸市,耳取,ナガノケン,コモロシ,ミミトリ
3840078,長野県,小諸市,宮沢,ナガノケン,コモロシ,ミヤザワ
3840005,長野県,小諸市,御幸町,ナガノケン,コモロシ,ミユキチョウ
3840085,長野県,小諸市,森山,ナガノケン,コモロシ,モリヤマ
3840043,長野県,小諸市,諸,ナガノケン,コモロシ,モロ
3840095,長野県,小諸市,谷地原,ナガノケン,コモロシ,ヤチハラ
3840807,長野県,小諸市,山浦,ナガノケン,コモロシ,ヤマウラ
3840056,長野県,小諸市,四ツ谷,ナガノケン,コモロシ,ヨツヤ
3840006,長野県,小諸市,与良町,ナガノケン,コモロシ,ヨラマチ
3840035,長野県,小諸市,両神,ナガノケン,コモロシ,リョウジン
3840027,長野県,小諸市,六供,ナガノケン,コモロシ,ロック
3840093,長野県,小諸市,和田,ナガノケン,コモロシ,ワダ
3840621,長野県,佐久市,入澤,ナガノケン,サクシ,イリサワ
3842201,長野県,佐久市,印内,ナガノケン,サクシ,インナイ
3840301,長野県,佐久市,臼田,ナガノケン,サクシ,ウスダ
3842205,長野県,佐久市,春日,ナガノケン,サクシ,カスガ
3840302,長野県,佐久市,勝間,ナガノケン,サクシ,カツマ
3840306,長野県,佐久市,上小田切,ナガノケン,サクシ,カミオタギリ
3840304,長野県,佐久市,北川,ナガノケン,サクシ,キタガワ
3842204,長野県,佐久市,協和,ナガノケン,サクシ,キョウワ
3840411,長野県,佐久市,清川,ナガノケン,サクシ,キヨカワ
3842101,長野県,佐久市,桑山,ナガノケン,サクシ,クワヤマ
3842104,長野県,佐久市,甲,ナガノケン,サクシ,コウ
3842102,長野県,佐久市,塩名田,ナガノケン,サクシ,シオナダ
3840303,長野県,佐久市,下小田切,ナガノケン,サクシ,シモオタギリ
3840414,長野県,佐久市,下越,ナガノケン,サクシ,シモゴエ
3840412,長野県,佐久市,田口,ナガノケン,サクシ,タグチ
3840305,長野県,佐久市,中小田切,ナガノケン,サクシ,ナカオタギリ
3840622,長野県,佐久市,平林,ナガノケン,サクシ,ヒラバヤシ
3842203,長野県,佐久市,布施,ナガノケン,サクシ,フセ
3840413,長野県,佐久市,三分,ナガノケン,サクシ,ミブン
3842103,長野県,佐久市,御馬寄,ナガノケン,サクシ,ミマヨセ
3842206,長野県,佐久市,茂田井,ナガノケン,サクシ,モタイ
3842202,長野県,佐久市,望月,ナガノケン,サクシ,モチヅキ
3842105,長野県,佐久市,矢嶋,ナガノケン,サクシ,ヤシマ
3842106,長野県,佐久市,八幡,ナガノケン,サクシ,ヤワタ
3840307,長野県,佐久市,湯原,ナガノケン,サクシ,ユハラ
3842107,長野県,佐久市,蓬田,ナガノケン,サクシ,ヨモギダ
3841100,長野県,南佐久郡小海町,,ナガノケン,ミナミサクグンコウミマチ,
3841104,長野県,南佐久郡小海町,稲子,ナガノケン,ミナミサクグンコウミマチ,イナコ
3841102,長野県,南佐久郡小海町,小海,ナガノケン,ミナミサクグンコウミマチ,コウミ
3841105,長野県,南佐久郡小海町,千代里,ナガノケン,ミナミサクグンコウミマチ,チヨサト
3841103,長野県,南佐久郡小海町,豊里,ナガノケン,ミナミサクグンコウミマチ,トヨサト
3841101,長野県,南佐久郡小海町,東馬流,ナガノケン,ミナミサクグンコウミマチ,ヒガシマナガシ
3841400,長野県,南佐久郡川上村,,ナガノケン,ミナミサクグンカワカミムラ,
3841403,長野県,南佐久郡川上村,秋山,ナガノケン,ミナミサクグンカワカミムラ,アキヤマ
3841402,長野県,南佐久郡川上村,梓山,ナガノケン,ミナミサクグンカワカミムラ,アズサヤマ
3841404,長野県,南佐久郡川上村,居倉,ナガノケン,ミナミサクグンカワカミムラ,イグラ
3841405,長野県,南佐久郡川上村,大深山,ナガノケン,ミナミサクグンカワカミムラ,オオミヤマ
3841401,長野県,南佐久郡川上村,川端下,ナガノケン,ミナミサクグンカワカミムラ,カワハケ
3841407,長野県,南佐久郡川上村,御所平,ナガノケン,ミナミサクグンカワカミムラ,ゴショダイラ
3841406,長野県,南佐久郡川上村,原,ナガノケン,ミナミサクグンカワカミムラ,ハラ
3841408,長野県,南佐久郡川上村,樋沢,ナガノケン,ミナミサクグンカワカミムラ,ヒサワ
3841300,長野県,南佐久郡南牧村,,ナガノケン,ミナミサクグンミナミマキムラ,
3841304,長野県,南佐久郡南牧村,板橋,ナガノケン,ミナミサクグンミナミマキムラ,イタバシ
3841301,長野県,南佐久郡南牧村,海尻,ナガノケン,ミナミサクグンミナミマキムラ,ウミジリ
3841302,長野県,南佐久郡南牧村,海ノ口,ナガノケン,ミナミサクグンミナミマキムラ,ウミノクチ
3841305,長野県,南佐久郡南牧村,野辺山,ナガノケン,ミナミサクグンミナミマキムラ,ノベヤマ
3841306,長野県,南佐久郡南牧村,平沢,ナガノケン,ミナミサクグンミナミマキムラ,ヒラサワ
3841303,長野県,南佐久郡南牧村,広瀬,ナガノケン,ミナミサクグンミナミマキムラ,ヒロセ
3841211,長野県,南佐久郡南相木村,,ナガノケン,ミナミサクグンミナミアイキムラ,
3841201,長野県,南佐久郡北相木村,,ナガノケン,ミナミサクグンキタアイキムラ,
3840600,長野県,南佐久郡佐久穂町,,ナガノケン,ミナミサクグンサクホマチ,
3840502,長野県,南佐久郡佐久穂町,大日向,ナガノケン,ミナミサクグンサクホマチ,オオヒナタ
3840503,長野県,南佐久郡佐久穂町,海瀬,ナガノケン,ミナミサクグンサクホマチ,カイゼ
3840614,長野県,南佐久郡佐久穂町,上,ナガノケン,ミナミサクグンサクホマチ,カミ
3840613,長野県,南佐久郡佐久穂町,高野町,ナガノケン,ミナミサクグンサクホマチ,タカノマチ
3840703,長野県,南佐久郡佐久穂町,千代里,ナガノケン,ミナミサクグンサクホマチ,チヨサト
3840701,長野県,南佐久郡佐久穂町,畑,ナガノケン,ミナミサクグンサクホマチ,ハタ
3840611,長野県,南佐久郡佐久穂町,平林,ナガノケン,ミナミサクグンサクホマチ,ヒラバヤシ
3840702,長野県,南佐久郡佐久穂町,穂積,ナガノケン,ミナミサクグンサクホマチ,ホヅミ
3840704,長野県,南佐久郡佐久穂町,八郡,ナガノケン,ミナミサクグンサクホマチ,ヤコオリ
3840612,長野県,南佐久郡佐久穂町,宿岩,ナガノケン,ミナミサクグンサクホマチ,ヤドイワ
3840501,長野県,南佐久郡佐久穂町,余地,ナガノケン,ミナミサクグンサクホマチ,ヨジ
3842300,長野県,北佐久郡立科町,,ナガノケン,キタサクグンタテシナマチ,
3842305,長野県,北佐久郡立科町,芦田,ナガノケン,キタサクグンタテシナマチ,アシダ
3842309,長野県,北佐久郡立科町,芦田八ケ野,ナガノケン,キタサクグンタテシナマチ,アシダハツカノ(ソノタ)
3842308,長野県,北佐久郡立科町,牛鹿,ナガノケン,キタサクグンタテシナマチ,ウシロク
3842306,長野県,北佐久郡立科町,宇山,ナガノケン,キタサクグンタテシナマチ,ウヤマ
3842301,長野県,北佐久郡立科町,桐原,ナガノケン,キタサクグンタテシナマチ,キリハラ
3842303,長野県,北佐久郡立科町,塩沢,ナガノケン,キタサクグンタテシナマチ,シオサワ
3842302,長野県,北佐久郡立科町,藤沢,ナガノケン,キタサクグンタテシナマチ,フジサワ
3842304,長野県,北佐久郡立科町,茂田井,ナガノケン,キタサクグンタテシナマチ,モタイ(1-500<211バンチヲノゾク><フルマチ>、2527-2529<ドトオ>)
3842211,長野県,北佐久郡立科町,茂田井,ナガノケン,キタサクグンタテシナマチ,モタイ(ソノタ)
3842307,長野県,北佐久郡立科町,山部,ナガノケン,キタサクグンタテシナマチ,ヤマベ
3848511,長野県,小諸市,柏木１９０番地,ナガノケン,コモロシ,カシワギ
3848605,長野県,小諸市,乙２９４−２３（小諸郵便局私書箱第２７号）,ナガノケン,コモロシ,オツ
3848501,長野県,小諸市,相生町３丁目３ー３,ナガノケン,コモロシ,アイオイチョウ
3848558,長野県,小諸市,古城乙１２１０,ナガノケン,コモロシ,
3848588,長野県,小諸市,相生町三丁目３番２１号,ナガノケン,コモロシ,アイオイチョウ
3848585,長野県,小諸市,天池４５８６ー３,ナガノケン,コモロシ,
3840393,長野県,佐久市,臼田１９７,ナガノケン,サクシ,ウスダ
3842292,長野県,佐久市,望月３１８,ナガノケン,サクシ,モチヅキ
3841192,長野県,南佐久郡小海町,大字豊里５７−１,ナガノケン,ミナミサクグンコウミマチ,
3840692,長野県,南佐久郡佐久穂町,大字高野町５６９,ナガノケン,ミナミサクグンサクホマチ,
3840698,長野県,南佐久郡佐久穂町,大字高野町３２８,ナガノケン,ミナミサクグンサクホマチ,
3840697,長野県,南佐久郡佐久穂町,大字高野町５６９,ナガノケン,ミナミサクグンサクホマチ,
3840695,長野県,南佐久郡佐久穂町,大字高野町５３３,ナガノケン,ミナミサクグンサクホマチ,
3840798,長野県,南佐久郡佐久穂町,大字畑１６４,ナガノケン,ミナミサクグンサクホマチ,
