3491221,栃木県,栃木市,藤岡町下宮,トチギケン,トチギシ,フジオカマチシタミヤ
3491114,埼玉県,久喜市,河原代,サイタマケン,クキシ,カワラダイ
3491111,埼玉県,久喜市,北広島,サイタマケン,クキシ,キタヒロシマ
3491113,埼玉県,久喜市,狐塚,サイタマケン,クキシ,キツネヅカ
3491104,埼玉県,久喜市,栗橋,サイタマケン,クキシ,クリハシ
3491101,埼玉県,久喜市,栗橋北,サイタマケン,クキシ,クリハシキタ
3491102,埼玉県,久喜市,栗橋中央,サイタマケン,クキシ,クリハシチュウオウ
3491103,埼玉県,久喜市,栗橋東,サイタマケン,クキシ,クリハシヒガシ
3491105,埼玉県,久喜市,小右衛門,サイタマケン,クキシ,コエモン
3491124,埼玉県,久喜市,佐間,サイタマケン,クキシ,サマ
3491116,埼玉県,久喜市,島川,サイタマケン,クキシ,シマガワ
3491125,埼玉県,久喜市,高柳,サイタマケン,クキシ,タカヤナギ
3491112,埼玉県,久喜市,中里,サイタマケン,クキシ,ナカザト
3491123,埼玉県,久喜市,間鎌,サイタマケン,クキシ,マガマ
3491122,埼玉県,久喜市,松永,サイタマケン,クキシ,マツナガ
3491106,埼玉県,久喜市,緑,サイタマケン,クキシ,ミドリ
3491117,埼玉県,久喜市,南栗橋,サイタマケン,クキシ,ミナミクリハシ
3490100,埼玉県,蓮田市,,サイタマケン,ハスダシ,
3490126,埼玉県,蓮田市,綾瀬,サイタマケン,ハスダシ,アヤセ
3490135,埼玉県,蓮田市,井沼,サイタマケン,ハスダシ,イヌマ
3490133,埼玉県,蓮田市,閏戸,サイタマケン,ハスダシ,ウルイド
3490102,埼玉県,蓮田市,江ケ崎,サイタマケン,ハスダシ,エガサキ
3490125,埼玉県,蓮田市,御前橋,サイタマケン,ハスダシ,オマエバシ
3490132,埼玉県,蓮田市,貝塚,サイタマケン,ハスダシ,カイヅカ
3490122,埼玉県,蓮田市,上,サイタマケン,ハスダシ,カミ
3490136,埼玉県,蓮田市,上平野,サイタマケン,ハスダシ,カミヒラノ
3490112,埼玉県,蓮田市,川島,サイタマケン,ハスダシ,カワジマ
3490101,埼玉県,蓮田市,黒浜,サイタマケン,ハスダシ,クロハマ
3490134,埼玉県,蓮田市,駒崎,サイタマケン,ハスダシ,コマサキ
3490113,埼玉県,蓮田市,桜台,サイタマケン,ハスダシ,サクラダイ
3490103,埼玉県,蓮田市,笹山,サイタマケン,ハスダシ,ササヤマ
3490143,埼玉県,蓮田市,城,サイタマケン,ハスダシ,ジョウ
3490124,埼玉県,蓮田市,末広,サイタマケン,ハスダシ,スエヒロ
3490121,埼玉県,蓮田市,関山,サイタマケン,ハスダシ,セキヤマ
3490137,埼玉県,蓮田市,高虫,サイタマケン,ハスダシ,タカムシ
3490144,埼玉県,蓮田市,椿山,サイタマケン,ハスダシ,ツバキヤマ
3490141,埼玉県,蓮田市,西新宿,サイタマケン,ハスダシ,ニシシンシュク
3490145,埼玉県,蓮田市,西城,サイタマケン,ハスダシ,ニシジョウ
3490131,埼玉県,蓮田市,根金,サイタマケン,ハスダシ,ネガネ
3490115,埼玉県,蓮田市,蓮田,サイタマケン,ハスダシ,ハスダ
3490111,埼玉県,蓮田市,東,サイタマケン,ハスダシ,ヒガシ
3490105,埼玉県,蓮田市,藤ノ木,サイタマケン,ハスダシ,フジノキ
3490123,埼玉県,蓮田市,本町,サイタマケン,ハスダシ,ホンチョウ
3490114,埼玉県,蓮田市,馬込,サイタマケン,ハスダシ,マゴメ
3490104,埼玉県,蓮田市,緑町,サイタマケン,ハスダシ,ミドリチョウ
3490142,埼玉県,蓮田市,南新宿,サイタマケン,ハスダシ,ミナミシンシュク
3490127,埼玉県,蓮田市,見沼町,サイタマケン,ハスダシ,ミヌマチョウ
3490128,埼玉県,蓮田市,山ノ内,サイタマケン,ハスダシ,ヤマノウチ
3490200,埼玉県,白岡市,,サイタマケン,シラオカシ,
3490202,埼玉県,白岡市,荒井新田,サイタマケン,シラオカシ,アライシンデン
3490225,埼玉県,白岡市,太田新井,サイタマケン,シラオカシ,オオタアライ
3490226,埼玉県,白岡市,岡泉,サイタマケン,シラオカシ,オカイズミ
3490221,埼玉県,白岡市,上野田,サイタマケン,シラオカシ,カミノダ
3490217,埼玉県,白岡市,小久喜,サイタマケン,シラオカシ,コグキ
3490216,埼玉県,白岡市,実ケ谷,サイタマケン,シラオカシ,サナガヤ
3490204,埼玉県,白岡市,篠津,サイタマケン,シラオカシ,シノヅ
3490201,埼玉県,白岡市,柴山,サイタマケン,シラオカシ,シバヤマ
3490203,埼玉県,白岡市,下大崎,サイタマケン,シラオカシ,シモオオサキ
3490223,埼玉県,白岡市,下野田,サイタマケン,シラオカシ,シモノダ
3490218,埼玉県,白岡市,白岡,サイタマケン,シラオカシ,シラオカ
3490219,埼玉県,白岡市,白岡東,サイタマケン,シラオカシ,シラオカヒガシ
3490212,埼玉県,白岡市,新白岡,サイタマケン,シラオカシ,シンシラオカ
3490215,埼玉県,白岡市,千駄野,サイタマケン,シラオカシ,センダノ
3490213,埼玉県,白岡市,高岩,サイタマケン,シラオカシ,タカイワ
3490222,埼玉県,白岡市,爪田ケ谷,サイタマケン,シラオカシ,ツメタガヤ
3490214,埼玉県,白岡市,寺塚,サイタマケン,シラオカシ,テラツカ
3490205,埼玉県,白岡市,西,サイタマケン,シラオカシ,ニシ
3490224,埼玉県,白岡市,彦兵衛,サイタマケン,シラオカシ,ヒコベエ
3490211,埼玉県,白岡市,野牛,サイタマケン,シラオカシ,ヤギュウ
3491193,埼玉県,加須市,北下新井１６７９番地１,サイタマケン,カゾシ,キタシモアライ
3491292,埼玉県,加須市,麦倉１４８１−１,サイタマケン,カゾシ,ムギクラ
3491192,埼玉県,久喜市,間鎌２５１の１,サイタマケン,クキシ,マガマ
3490192,埼玉県,蓮田市,黒浜４００８番地,サイタマケン,ハスダシ,クロハマ
3490198,埼玉県,蓮田市,大字黒浜３５３５,サイタマケン,ハスダシ,
3490195,埼玉県,蓮田市,大字黒浜３５３５,サイタマケン,ハスダシ,
3490196,埼玉県,蓮田市,大字黒浜４１４７,サイタマケン,ハスダシ,
3490193,埼玉県,蓮田市,大字黒浜２７９９−１,サイタマケン,ハスダシ,
3490295,埼玉県,白岡市,小久喜９３８−１２,サイタマケン,シラオカシ,コグキ
3490296,埼玉県,白岡市,千駄野４３２番地,サイタマケン,シラオカシ,センダノ
3490292,埼玉県,白岡市,千駄野４３２番地,サイタマケン,シラオカシ,センダノ
3490293,埼玉県,白岡市,下大崎８７３,サイタマケン,シラオカシ,シモオオサキ
3490294,埼玉県,白岡市,白岡１４７０,サイタマケン,シラオカシ,シラオカ
